<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
GTL ао;D;07/06/18;00:00;0.133;0.133;0.13;0.133;3159000;0
GTL ао;D;08/06/18;00:00;0.133;0.1335;0.1255;0.127;7721000;0
GTL ао;D;09/06/18;00:00;0.127;0.1275;0.125;0.126;4658000;0
GTL ао;D;11/06/18;00:00;0.1265;0.127;0.1225;0.125;4278000;0
GTL ао;D;13/06/18;00:00;0.1255;0.128;0.1225;0.125;6430000;0
GTL ао;D;14/06/18;00:00;0.123;0.1245;0.121;0.1235;4328000;0
GTL ао;D;15/06/18;00:00;0.127;0.135;0.122;0.125;14515000;0
GTL ао;D;18/06/18;00:00;0.126;0.127;0.124;0.1255;4024000;0
GTL ао;D;19/06/18;00:00;0.124;0.134;0.124;0.126;11539000;0
GTL ао;D;20/06/18;00:00;0.13;0.13;0.1245;0.1255;4297000;0
GTL ао;D;21/06/18;00:00;0.1115;0.128;0.1115;0.1275;8221000;0
GTL ао;D;22/06/18;00:00;0.1285;0.134;0.1255;0.1295;11077000;0
GTL ао;D;25/06/18;00:00;0.128;0.133;0.127;0.129;5507000;0
GTL ао;D;26/06/18;00:00;0.1275;0.133;0.126;0.128;7331000;0
GTL ао;D;27/06/18;00:00;0.127;0.1335;0.127;0.13;10270000;0
GTL ао;D;28/06/18;00:00;0.1295;0.139;0.1295;0.1335;26167000;0
GTL ао;D;29/06/18;00:00;0.132;0.133;0.124;0.1255;28643000;0
GTL ао;D;02/07/18;00:00;0.124;0.127;0.119;0.122;12899000;0
GTL ао;D;03/07/18;00:00;0.122;0.124;0.12;0.121;4938000;0
GTL ао;D;04/07/18;00:00;0.1205;0.123;0.1185;0.12;7197000;0
GTL ао;D;05/07/18;00:00;0.1195;0.1205;0.1155;0.1175;7249000;0
GTL ао;D;06/07/18;00:00;0.1185;0.119;0.113;0.1165;9842000;0
GTL ао;D;09/07/18;00:00;0.1125;0.12;0.1125;0.1185;6032000;0
GTL ао;D;10/07/18;00:00;0.119;0.1215;0.116;0.117;8040000;0
GTL ао;D;11/07/18;00:00;0.163;0.163;0.1125;0.1125;8988000;0
GTL ао;D;12/07/18;00:00;0.09;0.116;0.09;0.114;5828000;0
GTL ао;D;13/07/18;00:00;0.1165;0.1165;0.1125;0.114;7360000;0
GTL ао;D;16/07/18;00:00;0.114;0.1195;0.114;0.1155;7370000;0
GTL ао;D;17/07/18;00:00;0.115;0.1175;0.1135;0.1155;6273000;0
GTL ао;D;18/07/18;00:00;0.116;0.116;0.113;0.1145;5105000;0
GTL ао;D;19/07/18;00:00;0.1135;0.124;0.1125;0.117;33608000;0
GTL ао;D;20/07/18;00:00;0.119;0.124;0.115;0.1175;30372000;0
GTL ао;D;23/07/18;00:00;0.1185;0.12;0.1145;0.1175;6795000;0
GTL ао;D;24/07/18;00:00;0.1175;0.119;0.115;0.116;3053000;0
GTL ао;D;25/07/18;00:00;0.1175;0.1175;0.1095;0.1105;15117000;0
GTL ао;D;26/07/18;00:00;0.112;0.115;0.109;0.112;4987000;0
GTL ао;D;27/07/18;00:00;0.1145;0.115;0.11;0.113;4669000;0
GTL ао;D;30/07/18;00:00;0.1145;0.1155;0.113;0.114;2817000;0
GTL ао;D;31/07/18;00:00;0.1135;0.114;0.1095;0.1115;11101000;0
GTL ао;D;01/08/18;00:00;0.112;0.113;0.11;0.112;3671000;0
GTL ао;D;02/08/18;00:00;0.1115;0.113;0.1095;0.1115;8765000;0
GTL ао;D;03/08/18;00:00;0.111;0.1125;0.1085;0.11;5441000;0
GTL ао;D;06/08/18;00:00;0.1135;0.1135;0.1055;0.1105;7330000;0
GTL ао;D;07/08/18;00:00;0.108;0.1115;0.105;0.1095;13032000;0
GTL ао;D;08/08/18;00:00;0.1075;0.11;0.1055;0.106;4612000;0
GTL ао;D;09/08/18;00:00;0.1055;0.1085;0.1015;0.1045;9090000;0
GTL ао;D;10/08/18;00:00;0.1025;0.1145;0.1015;0.1035;28781000;0
GTL ао;D;13/08/18;00:00;0.1035;0.1105;0.103;0.1055;10905000;0
GTL ао;D;14/08/18;00:00;0.105;0.106;0.103;0.1045;5193000;0
GTL ао;D;15/08/18;00:00;0.103;0.105;0.1005;0.1025;8006000;0
GTL ао;D;16/08/18;00:00;0.1005;0.103;0.0995;0.102;11095000;0
GTL ао;D;17/08/18;00:00;0.101;0.1085;0.1005;0.1045;13269000;0
