<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
GTL ао;D;240516;00:00;0.733;108177000
GTL ао;D;250516;00:00;0.748;160910000
GTL ао;D;260516;00:00;0.7;81578000
GTL ао;D;270516;00:00;0.691;24466000
GTL ао;D;300516;00:00;0.765;90049000
GTL ао;D;310516;00:00;0.776;63684000
GTL ао;D;010616;00:00;0.733;30493000
GTL ао;D;020616;00:00;0.712;32820000
GTL ао;D;030616;00:00;0.734;27185000
GTL ао;D;060616;00:00;0.719;12123000
GTL ао;D;070616;00:00;0.72;25816000
GTL ао;D;080616;00:00;0.716;20424000
GTL ао;D;090616;00:00;0.716;15768000
GTL ао;D;100616;00:00;0.712;7366000
GTL ао;D;140616;00:00;0.715;17148000
GTL ао;D;150616;00:00;0.711;14216000
GTL ао;D;160616;00:00;0.717;8349000
GTL ао;D;170616;00:00;0.69;18922000
GTL ао;D;200616;00:00;0.673;21951000
GTL ао;D;210616;00:00;0.691;34864000
GTL ао;D;220616;00:00;0.683;12263000
GTL ао;D;230616;00:00;0.664;14656000
GTL ао;D;240616;00:00;0.655;11408000
GTL ао;D;270616;00:00;0.645;17754000
GTL ао;D;280616;00:00;0.646;8751000
GTL ао;D;290616;00:00;0.634;13295000
GTL ао;D;300616;00:00;0.602;20845000
GTL ао;D;010716;00:00;0.571;17859000
GTL ао;D;040716;00:00;0.675;124124000
GTL ао;D;050716;00:00;0.664;60833000
GTL ао;D;060716;00:00;0.631;21096000
GTL ао;D;070716;00:00;0.63;12576000
GTL ао;D;080716;00:00;0.641;33089000
GTL ао;D;110716;00:00;0.642;14997000
GTL ао;D;120716;00:00;0.634;17384000
GTL ао;D;130716;00:00;0.63;14073000
GTL ао;D;140716;00:00;0.613;32736000
GTL ао;D;150716;00:00;0.607;10847000
GTL ао;D;180716;00:00;0.625;12042000
GTL ао;D;190716;00:00;0.65;37848000
GTL ао;D;200716;00:00;0.642;14160000
GTL ао;D;210716;00:00;0.633;15730000
GTL ао;D;220716;00:00;0.626;16009000
GTL ао;D;250716;00:00;0.607;21855000
GTL ао;D;260716;00:00;0.607;10673000
GTL ао;D;270716;00:00;0.62;33025000
GTL ао;D;280716;00:00;0.611;14154000
GTL ао;D;290716;00:00;0.608;8059000
GTL ао;D;010816;00:00;0.61;6814000
GTL ао;D;020816;00:00;0.64;62996000
GTL ао;D;030816;00:00;0.662;88528000
GTL ао;D;040816;00:00;0.63;47171000
GTL ао;D;050816;00:00;0.634;15076000
GTL ао;D;080816;00:00;0.633;21152000
GTL ао;D;090816;00:00;0.633;10865000
GTL ао;D;100816;00:00;0.635;9841000
GTL ао;D;110816;00:00;0.63;10816000
GTL ао;D;120816;00:00;0.632;25994000
GTL ао;D;150816;00:00;0.629;9976000
GTL ао;D;160816;00:00;0.621;17287000
GTL ао;D;170816;00:00;0.615;14754000
GTL ао;D;180816;00:00;0.614;14692000
GTL ао;D;190816;00:00;0.613;4898000
GTL ао;D;220816;00:00;0.613;9744000
GTL ао;D;230816;00:00;0.607;21416000
GTL ао;D;240816;00:00;0.595;22933000
GTL ао;D;250816;00:00;0.581;24039000
GTL ао;D;260816;00:00;0.588;16769000
GTL ао;D;290816;00:00;0.588;48949000
GTL ао;D;300816;00:00;0.579;26385000
GTL ао;D;310816;00:00;0.561;30452000
GTL ао;D;010916;00:00;0.541;32847000
GTL ао;D;020916;00:00;0.556;43619000
GTL ао;D;050916;00:00;0.558;12359000
GTL ао;D;060916;00:00;0.55;8481000
GTL ао;D;070916;00:00;0.552;19064000
GTL ао;D;080916;00:00;0.532;24628000
GTL ао;D;090916;00:00;0.519;19265000
GTL ао;D;120916;00:00;0.536;46319000
GTL ао;D;130916;00:00;0.541;11111000
GTL ао;D;140916;00:00;0.536;6600000
GTL ао;D;150916;00:00;0.527;12568000
GTL ао;D;160916;00:00;0.529;10805000
GTL ао;D;190916;00:00;0.519;13607000
GTL ао;D;200916;00:00;0.516;12513000
GTL ао;D;210916;00:00;0.527;11690000
GTL ао;D;220916;00:00;0.601;242171000
GTL ао;D;230916;00:00;0.565;74474000
GTL ао;D;260916;00:00;0.582;37566000
GTL ао;D;270916;00:00;0.663;66128000
GTL ао;D;280916;00:00;0.634;75670000
GTL ао;D;290916;00:00;0.62;23181000
GTL ао;D;300916;00:00;0.579;57430000
GTL ао;D;031016;00:00;0.577;28334000
GTL ао;D;041016;00:00;0.574;12623000
GTL ао;D;051016;00:00;0.571;13477000
GTL ао;D;061016;00:00;0.559;20565000
GTL ао;D;071016;00:00;0.557;43057000
GTL ао;D;101016;00:00;0.558;14573000
GTL ао;D;111016;00:00;0.592;85700000
GTL ао;D;121016;00:00;0.586;48353000
GTL ао;D;131016;00:00;0.576;20482000
GTL ао;D;141016;00:00;0.577;27123000
GTL ао;D;171016;00:00;0.59;31599000
GTL ао;D;181016;00:00;0.604;49741000
GTL ао;D;191016;00:00;0.589;18088000
GTL ао;D;201016;00:00;0.579;11886000
GTL ао;D;211016;00:00;0.579;14406000
GTL ао;D;241016;00:00;0.575;23067000
GTL ао;D;251016;00:00;0.654;137328000
GTL ао;D;261016;00:00;0.614;125745000
GTL ао;D;271016;00:00;0.6;34688000
GTL ао;D;281016;00:00;0.598;19965000
GTL ао;D;311016;00:00;0.614;16871000
GTL ао;D;011116;00:00;0.61;21406000
GTL ао;D;021116;00:00;0.593;30795000
GTL ао;D;031116;00:00;0.585;16462000
GTL ао;D;071116;00:00;0.582;10094000
GTL ао;D;081116;00:00;0.577;20345000
GTL ао;D;091116;00:00;0.578;12407000
GTL ао;D;101116;00:00;0.574;11405000
GTL ао;D;111116;00:00;0.574;19372000
GTL ао;D;141116;00:00;0.569;39762000
GTL ао;D;151116;00:00;0.586;60772000
GTL ао;D;161116;00:00;0.574;12392000
GTL ао;D;171116;00:00;0.575;12334000
GTL ао;D;181116;00:00;0.585;17120000
GTL ао;D;211116;00:00;0.585;9107000
GTL ао;D;221116;00:00;0.585;14013000
GTL ао;D;231116;00:00;0.583;14955000
GTL ао;D;241116;00:00;0.57;25134000
GTL ао;D;251116;00:00;0.57;9969000
GTL ао;D;281116;00:00;0.574;21232000
GTL ао;D;291116;00:00;0.569;22362000
GTL ао;D;301116;00:00;0.568;7888000
GTL ао;D;011216;00:00;0.564;9354000
GTL ао;D;021216;00:00;0.563;9819000
GTL ао;D;051216;00:00;0.557;9552000
GTL ао;D;061216;00:00;0.523;63872000
GTL ао;D;071216;00:00;0.526;29400000
GTL ао;D;081216;00:00;0.536;24595000
GTL ао;D;091216;00:00;0.534;14375000
GTL ао;D;121216;00:00;0.544;49065000
GTL ао;D;131216;00:00;0.538;12471000
GTL ао;D;141216;00:00;0.536;8099000
GTL ао;D;151216;00:00;0.532;12849000
GTL ао;D;161216;00:00;0.541;15527000
GTL ао;D;191216;00:00;0.537;10763000
GTL ао;D;201216;00:00;0.53;13380000
GTL ао;D;211216;00:00;0.529;12170000
GTL ао;D;221216;00:00;0.517;10473000
GTL ао;D;231216;00:00;0.517;12988000
GTL ао;D;261216;00:00;0.516;28331000
GTL ао;D;271216;00:00;0.507;17679000
GTL ао;D;281216;00:00;0.481;46595000
GTL ао;D;291216;00:00;0.489;15843000
GTL ао;D;301216;00:00;0.494;46100000
GTL ао;D;030117;00:00;0.495;9367000
GTL ао;D;040117;00:00;0.487;5943000
GTL ао;D;050117;00:00;0.489;8338000
GTL ао;D;060117;00:00;0.484;12397000
GTL ао;D;090117;00:00;0.48;10170000
GTL ао;D;100117;00:00;0.493;74666000
GTL ао;D;110117;00:00;0.5;35886000
GTL ао;D;120117;00:00;0.497;22576000
GTL ао;D;130117;00:00;0.49;27344000
GTL ао;D;160117;00:00;0.49;5638000
GTL ао;D;170117;00:00;0.479;45214000
GTL ао;D;180117;00:00;0.477;7773000
GTL ао;D;190117;00:00;0.464;28910000
GTL ао;D;200117;00:00;0.443;66880000
GTL ао;D;230117;00:00;0.428;48592000
GTL ао;D;240117;00:00;0.428;54200000
GTL ао;D;250117;00:00;0.439;57546000
GTL ао;D;260117;00:00;0.424;36895000
GTL ао;D;270117;00:00;0.427;23873000
GTL ао;D;300117;00:00;0.436;37665000
GTL ао;D;310117;00:00;0.432;31450000
GTL ао;D;010217;00:00;0.434;25317000
GTL ао;D;020217;00:00;0.427;22582000
GTL ао;D;030217;00:00;0.382;114207000
GTL ао;D;060217;00:00;0.374;20304000
GTL ао;D;070217;00:00;0.376;15490000
GTL ао;D;080217;00:00;0.337;65688000
GTL ао;D;090217;00:00;0.328;81242000
GTL ао;D;100217;00:00;0.323;20511000
GTL ао;D;130217;00:00;0.327;29644000
GTL ао;D;140217;00:00;0.329;27817000
GTL ао;D;150217;00:00;0.382;366384000
GTL ао;D;160217;00:00;0.371;82129000
GTL ао;D;170217;00:00;0.339;37508000
GTL ао;D;200217;00:00;0.352;72100000
