<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
GTL ао;D;27/06/18;00:00;0.13;10270000
GTL ао;D;28/06/18;00:00;0.1335;26167000
GTL ао;D;29/06/18;00:00;0.1255;28643000
GTL ао;D;02/07/18;00:00;0.122;12899000
GTL ао;D;03/07/18;00:00;0.121;4938000
GTL ао;D;04/07/18;00:00;0.12;7197000
GTL ао;D;05/07/18;00:00;0.1175;7249000
GTL ао;D;06/07/18;00:00;0.1165;9842000
GTL ао;D;09/07/18;00:00;0.1185;6032000
GTL ао;D;10/07/18;00:00;0.117;8040000
GTL ао;D;11/07/18;00:00;0.1125;8988000
GTL ао;D;12/07/18;00:00;0.114;5828000
GTL ао;D;13/07/18;00:00;0.114;7360000
GTL ао;D;16/07/18;00:00;0.1155;7370000
GTL ао;D;17/07/18;00:00;0.1155;6273000
GTL ао;D;18/07/18;00:00;0.1145;5105000
GTL ао;D;19/07/18;00:00;0.117;33608000
GTL ао;D;20/07/18;00:00;0.1175;30372000
GTL ао;D;23/07/18;00:00;0.1175;6795000
GTL ао;D;24/07/18;00:00;0.116;3053000
GTL ао;D;25/07/18;00:00;0.1105;15117000
GTL ао;D;26/07/18;00:00;0.112;4987000
GTL ао;D;27/07/18;00:00;0.113;4669000
GTL ао;D;30/07/18;00:00;0.114;2817000
GTL ао;D;31/07/18;00:00;0.1115;11101000
GTL ао;D;01/08/18;00:00;0.112;3671000
GTL ао;D;02/08/18;00:00;0.1115;8765000
GTL ао;D;03/08/18;00:00;0.11;5441000
GTL ао;D;06/08/18;00:00;0.1105;7330000
GTL ао;D;07/08/18;00:00;0.1095;13032000
GTL ао;D;08/08/18;00:00;0.106;4612000
GTL ао;D;09/08/18;00:00;0.1045;9090000
GTL ао;D;10/08/18;00:00;0.1035;28781000
GTL ао;D;13/08/18;00:00;0.1055;10905000
GTL ао;D;14/08/18;00:00;0.1045;5193000
GTL ао;D;15/08/18;00:00;0.1025;8006000
GTL ао;D;16/08/18;00:00;0.102;11095000
GTL ао;D;17/08/18;00:00;0.1045;13269000
GTL ао;D;20/08/18;00:00;0.1205;104915000
GTL ао;D;21/08/18;00:00;0.1195;24844000
GTL ао;D;22/08/18;00:00;0.116;14366000
GTL ао;D;23/08/18;00:00;0.122;29618000
GTL ао;D;24/08/18;00:00;0.1235;30128000
GTL ао;D;27/08/18;00:00;0.136;55624000
GTL ао;D;28/08/18;00:00;0.13;39897000
GTL ао;D;29/08/18;00:00;0.133;34015000
GTL ао;D;30/08/18;00:00;0.1365;48465000
GTL ао;D;31/08/18;00:00;0.13;12861000
GTL ао;D;03/09/18;00:00;0.124;10370000
GTL ао;D;04/09/18;00:00;0.1235;7098000
GTL ао;D;05/09/18;00:00;0.1245;13078000
GTL ао;D;06/09/18;00:00;0.127;20516000
GTL ао;D;07/09/18;00:00;0.1245;4720000
GTL ао;D;10/09/18;00:00;0.1255;16131000
GTL ао;D;11/09/18;00:00;0.1205;8098000
GTL ао;D;12/09/18;00:00;0.121;9283000
GTL ао;D;13/09/18;00:00;0.118;10710000
